# Wavelength	Spectral Flux Density
# (nm)		(W/m^2/nm)
704.000000	0.85789
705.000000	0.86693
706.000000	0.8623
707.000000	0.85868
708.000000	0.86536
709.000000	0.86835
710.000000	0.87376
711.000000	0.8723
712.000000	0.8666
713.000000	0.85659
714.000000	0.86419
715.000000	0.83531
716.000000	0.84409
717.000000	0.73686
718.000000	0.68615
719.000000	0.61599
720.000000	0.6574
721.000000	0.72339
722.000000	0.82457
723.000000	0.76186
724.000000	0.70393
725.000000	0.69981
726.000000	0.72859
727.000000	0.73118
728.000000	0.70148
729.000000	0.70544
730.000000	0.76037
731.000000	0.72168
732.000000	0.77706
733.000000	0.8052
734.000000	0.8318
735.000000	0.81998
736.000000	0.81207
737.000000	0.81089
738.000000	0.82611
739.000000	0.80181
740.000000	0.82131
741.000000	0.81828
742.000000	0.82714
743.000000	0.84445
744.000000	0.85131
745.000000	0.85101
746.000000	0.8493
747.000000	0.8499
748.000000	0.84497
749.000000	0.84547
750.000000	0.8445
751.000000	0.84083
752.000000	0.8439
753.000000	0.83978
754.000000	0.85049
755.000000	0.8481
756.000000	0.83791
757.000000	0.83723
758.000000	0.84248
759.000000	0.82395
760.000000	0.18629
761.000000	0.10799
762.000000	0.47853
763.000000	0.26543
764.000000	0.37598
765.000000	0.47767
766.000000	0.56588
767.000000	0.67512
768.000000	0.77043
769.000000	0.77986
770.000000	0.80239
771.000000	0.80767
772.000000	0.81415
773.000000	0.81377
774.000000	0.814
775.000000	0.81407
776.000000	0.81603
777.000000	0.81909
778.000000	0.81833
779.000000	0.82206
780.000000	0.81323
781.000000	0.81133
782.000000	0.81529
783.000000	0.81209
784.000000	0.80677
785.000000	0.81034
786.000000	0.81088
787.000000	0.80129
788.000000	0.79132
789.000000	0.78828
790.000000	0.76438
791.000000	0.77458
792.000000	0.76735
793.000000	0.7621
794.000000	0.76864
795.000000	0.77321
796.000000	0.76034
797.000000	0.77252
798.000000	0.78696
799.000000	0.77183
800.000000	0.75937
801.000000	0.76797
802.000000	0.76898
803.000000	0.75785
804.000000	0.76682
805.000000	0.75
806.000000	0.78045
807.000000	0.77243
808.000000	0.76984
809.000000	0.75064
810.000000	0.75168
811.000000	0.75002
812.000000	0.73158
813.000000	0.72274
814.000000	0.64867
815.000000	0.64283
816.000000	0.59821
817.000000	0.61226
818.000000	0.59145
819.000000	0.64994
820.000000	0.61936
821.000000	0.71542
822.000000	0.68278
823.000000	0.48507
824.000000	0.67145
825.000000	0.69574
826.000000	0.67076
827.000000	0.70679
828.000000	0.61138
829.000000	0.6677
830.000000	0.65836
831.000000	0.66406
832.000000	0.6488
833.000000	0.69308
834.000000	0.67733
835.000000	0.72667
836.000000	0.70491
837.000000	0.73117
838.000000	0.72407
839.000000	0.72562
840.000000	0.73611
841.000000	0.73221
842.000000	0.72271
843.000000	0.72865
844.000000	0.71507
845.000000	0.7369
846.000000	0.73863
847.000000	0.71908
848.000000	0.71957
849.000000	0.71517
850.000000	0.64833
851.000000	0.7074
852.000000	0.70945
853.000000	0.70628
854.000000	0.62314
855.000000	0.66847
856.000000	0.71261
857.000000	0.72615
858.000000	0.72643
859.000000	0.72632
860.000000	0.72382
861.000000	0.72291
862.000000	0.72858
863.000000	0.73305
864.000000	0.71745
865.000000	0.70586
866.000000	0.62601
867.000000	0.67508
868.000000	0.70741
869.000000	0.70037
870.000000	0.71371
871.000000	0.70531
872.000000	0.71498
873.000000	0.70792
874.000000	0.69561
875.000000	0.68569
876.000000	0.70495
877.000000	0.70752
878.000000	0.7048
879.000000	0.69317
880.000000	0.69547
881.000000	0.67264
882.000000	0.69033
883.000000	0.688
884.000000	0.6909
885.000000	0.69928
886.000000	0.67225
887.000000	0.67451
888.000000	0.68326
889.000000	0.69235
890.000000	0.68469
891.000000	0.6861
892.000000	0.67905
893.000000	0.65278
894.000000	0.63722
895.000000	0.60948
896.000000	0.57184
897.000000	0.49999
898.000000	0.53872
899.000000	0.41293
900.000000	0.55711
901.000000	0.45065
902.000000	0.50151
903.000000	0.51742
904.000000	0.6328
905.000000	0.61254
906.000000	0.58177
907.000000	0.48011
908.000000	0.4902
909.000000	0.52889
910.000000	0.46984
911.000000	0.50215
912.000000	0.51762
913.000000	0.47608
914.000000	0.47474
915.000000	0.51361
916.000000	0.43723
917.000000	0.55241
918.000000	0.44946
919.000000	0.55896
920.000000	0.56297
921.000000	0.59002
922.000000	0.53005
923.000000	0.5633
924.000000	0.54611
925.000000	0.53843
926.000000	0.5324
927.000000	0.59552
928.000000	0.44744
929.000000	0.41858
930.000000	0.32877
931.000000	0.31148
932.000000	0.22942
933.000000	0.1896
934.000000	0.11079
935.000000	0.19293
936.000000	0.12434
937.000000	0.12585
938.000000	0.15443
939.000000	0.30614
940.000000	0.36169
941.000000	0.28562
942.000000	0.31104
943.000000	0.2141
944.000000	0.21978
945.000000	0.28283
946.000000	0.14992
947.000000	0.28512
948.000000	0.21102
949.000000	0.37881
950.000000	0.11356
951.000000	0.37107
952.000000	0.20701
953.000000	0.26421
954.000000	0.32566
955.000000	0.26421
956.000000	0.2543
957.000000	0.20996
958.000000	0.3565
959.000000	0.28956
960.000000	0.32559
961.000000	0.35673
962.000000	0.34182
963.000000	0.3904
964.000000	0.35477
965.000000	0.38945
966.000000	0.38869
967.000000	0.3885
968.000000	0.50293
969.000000	0.52901
970.000000	0.4897
971.000000	0.55017
972.000000	0.53023
973.000000	0.46831
974.000000	0.44443
975.000000	0.45563
976.000000	0.44198
977.000000	0.49295
978.000000	0.47848
979.000000	0.49619
980.000000	0.47053
981.000000	0.55413
982.000000	0.53797
983.000000	0.51989
984.000000	0.57257
985.000000	0.53492
986.000000	0.58301
987.000000	0.57422
988.000000	0.57066
989.000000	0.58167
990.000000	0.56888
991.000000	0.58532
992.000000	0.58337
993.000000	0.57286
994.000000	0.5858
995.000000	0.584
996.000000	0.58182
997.000000	0.57476
998.000000	0.57415
999.000000	0.57394
1000.000000	0.57149
1001.000000	0.58261
1002.000000	0.57
1003.000000	0.5749
1004.000000	0.56633
1005.000000	0.53374
1006.000000	0.55793
1007.000000	0.56971
1008.000000	0.56925
1009.000000	0.56371
1010.000000	0.56332
1011.000000	0.56614
1012.000000	0.56309
1013.000000	0.56217
1014.000000	0.5646
1015.000000	0.55484
1016.000000	0.55734
1017.000000	0.55119
1018.000000	0.55973
1019.000000	0.5399
1020.000000	0.54788
1021.000000	0.55011
1022.000000	0.54073
1023.000000	0.54497
1024.000000	0.54519
1025.000000	0.55063
1026.000000	0.54978
1027.000000	0.54721
1028.000000	0.54788
1029.000000	0.54192
1030.000000	0.54532
1031.000000	0.54286
1032.000000	0.5433
1033.000000	0.53408
1034.000000	0.53731
1035.000000	0.53908
1036.000000	0.53887
1037.000000	0.53335
1038.000000	0.53081
1039.000000	0.53451
1040.000000	0.53086
1041.000000	0.53096
1042.000000	0.53119
1043.000000	0.52589
1044.000000	0.52835
1045.000000	0.52538
1046.000000	0.51169
1047.000000	0.51948
1048.000000	0.52748
1049.000000	0.52451
1050.000000	0.5211
1051.000000	0.52161
1052.000000	0.51845
1053.000000	0.51689
1054.000000	0.51474
1055.000000	0.51638
1056.000000	0.5148
1057.000000	0.51358
1058.000000	0.50832
1059.000000	0.49286
1060.000000	0.50652
1061.000000	0.4949
1062.000000	0.50407
1063.000000	0.49592
1064.000000	0.50356
1065.000000	0.50136
1066.000000	0.49183
1067.000000	0.49442
1068.000000	0.49377
1069.000000	0.46736
1070.000000	0.48211
1071.000000	0.49161
1072.000000	0.49372
1073.000000	0.48432
1074.000000	0.49869
1075.000000	0.47556
1076.000000	0.49327
1077.000000	0.48507
1078.000000	0.48423
1079.000000	0.48537
1080.000000	0.47951
1081.000000	0.46639
1082.000000	0.47318
1083.000000	0.48022
1084.000000	0.46471
1085.000000	0.47649
1086.000000	0.44538
1087.000000	0.45546
1088.000000	0.47645
1089.000000	0.4654
1090.000000	0.44673
1091.000000	0.47274
1092.000000	0.46703
1093.000000	0.41077
1094.000000	0.4337
1095.000000	0.4188
1096.000000	0.40495
1097.000000	0.46776
1098.000000	0.40719
1099.000000	0.41105
1100.000000	0.39357
1101.000000	0.40258
1102.000000	0.37992
1103.000000	0.37802
1104.000000	0.37905
1105.000000	0.41023
1106.000000	0.32296
1107.000000	0.39146
1108.000000	0.33727
1109.000000	0.33499
1110.000000	0.38831
1111.000000	0.26946
1112.000000	0.33568
1113.000000	0.21849
1114.000000	0.24389
1115.000000	0.20341
1116.000000	0.16407
1117.000000	0.065005
1118.000000	0.17721
1119.000000	0.092356
1120.000000	0.11575
1121.000000	0.15152
1122.000000	0.066708
1123.000000	0.10519
1124.000000	0.089246
1125.000000	0.11841
1126.000000	0.042399
1127.000000	0.12903
1128.000000	0.0815
1129.000000	0.08698
1130.000000	0.057999
1131.000000	0.24207
1132.000000	0.19193
1133.000000	0.12585
1134.000000	0.034325
1135.000000	0.01272
1136.000000	0.10575
1137.000000	0.23581
1138.000000	0.16677
1139.000000	0.2445
1140.000000	0.20985
1141.000000	0.15868
1142.000000	0.18439
1143.000000	0.25544
1144.000000	0.093074
1145.000000	0.11997
1146.000000	0.12949
1147.000000	0.048683
1148.000000	0.2223
1149.000000	0.18034
1150.000000	0.10054
1151.000000	0.16791
1152.000000	0.20427
1153.000000	0.19647
1154.000000	0.11776
1155.000000	0.2581
1156.000000	0.23164
1157.000000	0.25929
1158.000000	0.25696
1159.000000	0.27761
