# Wavelength	Extinction
# (nm)		(mag)
618.000000	0.4154
619.000000	0.4154
620.000000	0.4154
621.000000	0.4154
622.000000	0.4154
623.000000	0.4154
624.000000	0.4154
625.000000	0.4154
626.000000	0.4154
627.000000	0.4154
628.000000	0.4154
629.000000	0.4154
630.000000	0.4154
631.000000	0.4021
632.000000	0.4021
633.000000	0.4021
634.000000	0.4021
635.000000	0.4021
636.000000	0.4021
637.000000	0.4021
638.000000	0.4021
639.000000	0.4021
640.000000	0.4021
641.000000	0.4021
642.000000	0.3927
643.000000	0.3927
644.000000	0.3927
645.000000	0.3927
646.000000	0.3891
647.000000	0.3891
648.000000	0.3891
649.000000	0.3891
650.000000	0.386
651.000000	0.386
652.000000	0.386
653.000000	0.386
654.000000	0.386
655.000000	0.386
656.000000	0.386
657.000000	0.3801
658.000000	0.3801
659.000000	0.3801
660.000000	0.3801
661.000000	0.3764
662.000000	0.3764
663.000000	0.3764
664.000000	0.3764
665.000000	0.3764
666.000000	0.3764
667.000000	0.3764
668.000000	0.3764
669.000000	0.3764
670.000000	0.3764
671.000000	0.3764
672.000000	0.3764
673.000000	0.3764
674.000000	0.3764
675.000000	0.3764
676.000000	0.3764
677.000000	0.364
678.000000	0.364
679.000000	0.364
680.000000	0.364
681.000000	0.364
682.000000	0.364
683.000000	0.364
684.000000	0.364
685.000000	0.364
686.000000	0.364
687.000000	0.364
688.000000	0.364
689.000000	0.364
690.000000	0.364
691.000000	0.364
692.000000	0.352
693.000000	0.352
694.000000	0.352
695.000000	0.352
696.000000	0.352
697.000000	0.352
698.000000	0.352
699.000000	0.352
700.000000	0.352
701.000000	0.352
702.000000	0.352
703.000000	0.352
704.000000	0.352
705.000000	0.352
706.000000	0.352
707.000000	0.352
708.000000	0.3403
709.000000	0.3403
710.000000	0.3403
711.000000	0.3403
712.000000	0.3403
713.000000	0.3403
714.000000	0.3403
715.000000	0.3403
716.000000	0.3403
717.000000	0.3403
718.000000	0.3403
719.000000	0.3403
720.000000	0.3403
721.000000	0.3403
722.000000	0.3403
723.000000	0.3403
724.000000	0.3403
725.000000	0.3289
726.000000	0.3289
727.000000	0.3289
728.000000	0.3289
729.000000	0.3289
730.000000	0.3289
731.000000	0.3289
732.000000	0.3289
733.000000	0.3289
734.000000	0.3289
735.000000	0.3289
736.000000	0.3289
737.000000	0.3289
738.000000	0.3289
739.000000	0.3289
740.000000	0.3289
741.000000	0.3289
742.000000	0.3178
743.000000	0.3178
744.000000	0.3178
745.000000	0.3178
746.000000	0.3178
747.000000	0.3178
748.000000	0.3178
749.000000	0.3136
750.000000	0.3136
751.000000	0.3136
752.000000	0.3136
753.000000	0.3136
754.000000	0.3136
755.000000	0.3136
756.000000	0.3136
757.000000	0.3136
758.000000	0.3136
759.000000	0.307
760.000000	0.307
761.000000	0.307
762.000000	0.307
763.000000	0.307
764.000000	0.307
765.000000	0.307
766.000000	0.307
767.000000	0.307
768.000000	0.307
769.000000	0.307
770.000000	0.307
771.000000	0.307
772.000000	0.307
773.000000	0.307
774.000000	0.307
775.000000	0.307
776.000000	0.307
777.000000	0.2966
778.000000	0.2966
779.000000	0.2966
780.000000	0.2966
781.000000	0.2966
782.000000	0.2966
783.000000	0.2966
784.000000	0.2966
